user_id,user_listen_rate,user_total_listens,user_session_count,user_genre_diversity,user_artist_diversity,user_context_variety,user_skip_rate,user_engagement_segment,user_engagement_score
0,1.0,30,30,7,15,3,0.0,0,0.629126213592233
1,1.0,71,71,11,26,4,0.0,0,0.7260748959778086
2,0.9342105263157895,71,76,13,27,7,0.06578947368421051,1,0.7266059566391707
3,0.9761904761904762,41,42,14,16,5,0.023809523809523836,1,0.7288719371243644
4,0.375,27,72,8,19,7,0.625,4,0.3716886269070735
5,0.9714285714285714,68,70,13,27,12,0.02857142857142858,1,0.7393897364771151
6,0.9870967741935484,153,155,11,14,2,0.012903225806451646,1,0.8011766811328352
7,0.024390243902439025,1,41,4,5,1,0.975609756097561,4,0.1091438043367951
8,1.0,41,41,5,9,4,0.0,0,0.6112343966712899
9,0.8556701030927835,83,97,12,17,7,0.14432989690721654,2,0.6934383802565165
10,0.3125,15,48,7,11,3,0.6875,4,0.3028519417475728
11,0.3684210526315789,14,38,6,13,3,0.631578947368421,4,0.30681801591357033
12,0.9583333333333334,23,24,4,6,4,0.04166666666666663,1,0.5596104946833103
13,1.0,60,60,7,14,6,0.0,0,0.658252427184466
14,1.0,55,55,11,13,5,0.0,0,0.7105409153952843
15,0.9885057471264368,86,87,11,22,9,0.011494252873563204,1,0.7358617501235513
16,0.4696969696969697,31,66,2,5,6,0.5303030303030303,4,0.3274975833228261
17,0.9811320754716981,52,53,9,20,3,0.018867924528301883,1,0.6705937769868893
18,0.30612244897959184,15,49,5,6,3,0.6938775510204082,4,0.27206261145234795
19,0.86,43,50,10,18,7,0.14,2,0.6214008321775312
20,1.0,36,36,3,3,3,0.0,0,0.5778085991678225
21,1.0,76,76,7,17,3,0.0,0,0.6737864077669903
22,0.4230769230769231,11,26,3,5,2,0.5769230769230769,4,0.27963832284220635
23,0.9545454545454546,63,66,8,11,6,0.045454545454545414,1,0.6556361114613543
24,0.40625,13,32,4,10,9,0.59375,4,0.29133581830790567
25,0.5483870967741935,17,31,7,12,7,0.4516129032258065,3,0.40429063576573754
26,0.9836065573770492,60,61,5,11,5,0.016393442622950838,1,0.6224551510879698
27,1.0,21,21,4,6,4,0.0,0,0.5775312066574203
28,0.9411764705882353,16,17,6,10,3,0.05882352941176472,1,0.5728073753773354
29,1.0,36,36,7,8,1,0.0,0,0.6349514563106796
30,0.75,9,12,2,3,2,0.25,3,0.41522191400832176
31,0.25,12,48,8,13,3,0.75,4,0.2858876560332871
32,0.10416666666666667,5,48,5,8,2,0.8958333333333334,4,0.17011384650947758
33,0.9574468085106383,45,47,13,24,8,0.04255319148936165,1,0.71006875793077
34,0.8715596330275229,95,109,8,14,4,0.12844036697247707,2,0.6558907735179224
35,0.9823008849557522,111,113,11,20,10,0.017699115044247815,1,0.7580020374848109
36,0.9024390243902439,37,41,5,10,3,0.09756097560975607,1,0.5624539088664118
37,0.5526315789473685,21,38,5,11,5,0.4473684210526315,3,0.38463756478575084
38,0.2222222222222222,12,54,9,12,5,0.7777777777777778,4,0.29210972414855907
39,0.21621621621621623,8,37,8,15,6,0.7837837837837838,4,0.2583161524909098
40,0.0,0,2,2,2,1,1.0,4,0.030513176144244106
41,0.9444444444444444,102,108,12,51,6,0.05555555555555558,1,0.7485051625828325
42,0.8421052631578947,16,19,6,8,5,0.1578947368421053,2,0.5252135192349806
43,0.38181818181818183,21,55,2,4,6,0.6181818181818182,4,0.27287857773294666
44,0.4146341463414634,17,41,6,9,1,0.5853658536585367,4,0.3328371841277359
45,0.72,54,75,6,8,6,0.28,3,0.5185298196948682
46,0.13253012048192772,11,83,7,10,2,0.8674698795180723,4,0.2468475845128085
47,0.9215686274509803,47,51,10,14,5,0.07843137254901966,1,0.6531560196894292
48,0.8888888888888888,8,9,4,4,3,0.11111111111111116,2,0.5103251656649714
49,0.5882352941176471,10,17,3,5,3,0.4117647058823529,3,0.3534796442848985
50,0.5625,9,16,2,2,2,0.4375,3,0.32535540915395283
51,1.0,58,58,12,23,4,0.0,0,0.7277392510402219
52,0.3333333333333333,17,51,8,14,6,0.6666666666666667,4,0.33046694405917704
53,0.3333333333333333,2,6,2,3,2,0.6666666666666667,4,0.20106333795654183
54,0.9803921568627451,100,102,8,11,4,0.019607843137254943,1,0.7035109189306791
55,0.904,113,125,8,16,6,0.09599999999999997,1,0.6876449375866852
56,0.75,75,100,13,21,6,0.25,3,0.6578016643550624
