genre_id,ts_listen,media_id,album_id,context_type,release_date,platform_name,platform_family,media_duration,listen_type,user_gender,user_id,artist_id,user_age,is_listened,listen_date,release_date_parsed,days_after_release,gap_category
7,316179665,2438245,240153,0,20021231,1,0,264,0,0,3746,116,28,1,1980-01-08 11:41:05,2002-12-31,-8393,>1 year early
7,316205896,2438245,240153,0,20021231,1,0,264,0,0,3746,116,28,1,1980-01-08 18:58:16,2002-12-31,-8393,>1 year early
7,315968609,2438245,240153,0,20021231,1,0,264,0,0,3746,116,28,1,1980-01-06 01:03:29,2002-12-31,-8395,>1 year early
7,316004430,2438245,240153,0,20021231,1,0,264,0,0,3746,116,28,1,1980-01-06 11:00:30,2002-12-31,-8395,>1 year early
7,316192783,2438245,240153,0,20021231,1,0,264,0,0,3746,116,28,1,1980-01-08 15:19:43,2002-12-31,-8393,>1 year early
7,316399724,2438245,240153,0,20021231,1,0,264,0,0,3746,116,28,1,1980-01-11 00:48:44,2002-12-31,-8390,>1 year early
7,316327172,2438245,240153,0,20021231,1,0,264,0,0,3746,116,28,1,1980-01-10 04:39:32,2002-12-31,-8391,>1 year early
734,209,3316473,316195,3,20011231,1,2,185,0,0,8627,7983,28,1,1970-01-01 00:03:29,2001-12-31,-11687,>1 year early
0,865,127539479,13457671,0,20160708,1,0,197,0,0,5034,1270444,19,1,1970-01-01 00:14:25,2016-07-08,-16990,>1 year early
0,79,127539479,13457671,0,20160708,1,0,197,0,1,17416,1270444,22,1,1970-01-01 00:01:19,2016-07-08,-16990,>1 year early
0,1479935410,131246786,13938548,17,20161125,2,1,333,0,0,514,181041,24,1,2016-11-23 21:10:10,2016-11-25,-2,1-7 days early
0,1479935621,131246792,13938548,17,20161125,2,1,416,0,0,514,181041,24,1,2016-11-23 21:13:41,2016-11-25,-2,1-7 days early
0,1479935259,131246780,13938548,17,20161125,2,1,227,0,0,514,181041,24,1,2016-11-23 21:07:39,2016-11-25,-2,1-7 days early
0,1479943220,131246780,13938548,17,20161125,2,1,227,0,0,514,181041,24,0,2016-11-23 23:20:20,2016-11-25,-2,1-7 days early
25,876467,4307640,400709,0,20091016,1,0,245,0,0,3406,288092,18,1,1970-01-11 03:27:47,2009-10-16,-14523,>1 year early
7054,877521,10174048,930245,0,20110401,1,0,245,0,0,3406,1068,18,1,1970-01-11 03:45:21,2011-04-01,-15055,>1 year early
7,316328947,2149886,215333,0,20080919,1,0,218,0,0,3746,83,28,1,1980-01-10 05:09:07,2008-09-19,-10480,>1 year early
7,316401500,2149886,215333,0,20080919,1,0,218,0,0,3746,83,28,1,1980-01-11 01:18:20,2008-09-19,-10479,>1 year early
7,316194557,2149886,215333,0,20080919,1,0,218,0,0,3746,83,28,1,1980-01-08 15:49:17,2008-09-19,-10482,>1 year early
7,316181440,2149886,215333,0,20080919,1,0,218,0,0,3746,83,28,1,1980-01-08 12:10:40,2008-09-19,-10482,>1 year early
7,316006209,2149886,215333,0,20080919,1,0,218,0,0,3746,83,28,1,1980-01-06 11:30:09,2008-09-19,-10484,>1 year early
7,316207671,2149886,215333,0,20080919,1,0,218,0,0,3746,83,28,1,1980-01-08 19:27:51,2008-09-19,-10482,>1 year early
7,315980964,2149886,215333,0,20080919,1,0,218,0,0,3746,83,28,1,1980-01-06 04:29:24,2008-09-19,-10484,>1 year early
0,1325383605,132123604,14038232,0,20160916,1,0,285,0,1,9603,1519461,19,1,2012-01-01 02:06:45,2016-09-16,-1720,>1 year early
0,1230764798,132123630,14038232,9,20160916,1,0,252,0,0,19676,1519461,26,1,2008-12-31 23:06:38,2016-09-16,-2816,>1 year early
0,1451659818,132123608,14038232,2,20160916,1,0,215,0,0,15656,1519461,23,0,2016-01-01 14:50:18,2016-09-16,-259,6mo-1yr early
0,1451659819,132123610,14038232,2,20160916,1,0,268,0,0,15656,1519461,23,0,2016-01-01 14:50:19,2016-09-16,-259,6mo-1yr early
0,1451659825,132123620,14038232,2,20160916,1,0,256,0,0,15656,1519461,23,0,2016-01-01 14:50:25,2016-09-16,-259,6mo-1yr early
0,1451621152,132123602,14038232,2,20160916,1,0,230,0,0,15656,1519461,23,1,2016-01-01 04:05:52,2016-09-16,-259,6mo-1yr early
0,1451621384,132123604,14038232,2,20160916,1,0,285,0,0,15656,1519461,23,1,2016-01-01 04:09:44,2016-09-16,-259,6mo-1yr early
0,1451621669,132123606,14038232,2,20160916,1,0,234,0,0,15656,1519461,23,1,2016-01-01 04:14:29,2016-09-16,-259,6mo-1yr early
0,1451659820,132123612,14038232,2,20160916,1,0,233,0,0,15656,1519461,23,0,2016-01-01 14:50:20,2016-09-16,-259,6mo-1yr early
0,1451621905,132123608,14038232,2,20160916,1,0,215,0,0,15656,1519461,23,1,2016-01-01 04:18:25,2016-09-16,-259,6mo-1yr early
0,1451659821,132123614,14038232,2,20160916,1,0,216,0,0,15656,1519461,23,0,2016-01-01 14:50:21,2016-09-16,-259,6mo-1yr early
0,1451659826,132123622,14038232,2,20160916,1,0,278,0,0,15656,1519461,23,0,2016-01-01 14:50:26,2016-09-16,-259,6mo-1yr early
0,1451659827,132123624,14038232,2,20160916,1,0,286,0,0,15656,1519461,23,0,2016-01-01 14:50:27,2016-09-16,-259,6mo-1yr early
0,1451659829,132123626,14038232,2,20160916,1,0,190,0,0,15656,1519461,23,0,2016-01-01 14:50:29,2016-09-16,-259,6mo-1yr early
0,1451659830,132123628,14038232,2,20160916,1,0,240,0,0,15656,1519461,23,0,2016-01-01 14:50:30,2016-09-16,-259,6mo-1yr early
0,1451659831,132123630,14038232,2,20160916,1,0,252,0,0,15656,1519461,23,0,2016-01-01 14:50:31,2016-09-16,-259,6mo-1yr early
0,1451659822,132123616,14038232,2,20160916,1,0,244,0,0,15656,1519461,23,0,2016-01-01 14:50:22,2016-09-16,-259,6mo-1yr early
0,1451659833,132123632,14038232,2,20160916,1,0,352,0,0,15656,1519461,23,0,2016-01-01 14:50:33,2016-09-16,-259,6mo-1yr early
0,1451659858,132123630,14038232,2,20160916,1,0,252,0,0,15656,1519461,23,1,2016-01-01 14:50:58,2016-09-16,-259,6mo-1yr early
0,1451659332,132123602,14038232,2,20160916,1,0,230,0,0,15656,1519461,23,1,2016-01-01 14:42:12,2016-09-16,-259,6mo-1yr early
0,1451659563,132123604,14038232,2,20160916,1,0,285,0,0,15656,1519461,23,1,2016-01-01 14:46:03,2016-09-16,-259,6mo-1yr early
0,1451659815,132123606,14038232,2,20160916,1,0,234,0,0,15656,1519461,23,0,2016-01-01 14:50:15,2016-09-16,-259,6mo-1yr early
0,1451662457,132123632,14038232,2,20160916,1,0,352,0,0,15656,1519461,23,0,2016-01-01 15:34:17,2016-09-16,-259,6mo-1yr early
0,1451666093,132123602,14038232,2,20160916,1,0,230,0,0,15656,1519461,23,1,2016-01-01 16:34:53,2016-09-16,-259,6mo-1yr early
0,1451659823,132123618,14038232,2,20160916,1,0,211,0,0,15656,1519461,23,0,2016-01-01 14:50:23,2016-09-16,-259,6mo-1yr early
0,8,132123630,14038232,2,20160916,1,0,252,0,0,2196,1519461,24,1,1970-01-01 00:00:08,2016-09-16,-17060,>1 year early
0,1420072186,132123632,14038232,2,20160916,1,0,352,0,1,8808,1519461,26,1,2015-01-01 00:29:46,2016-09-16,-624,>1 year early
0,1368508538,132123630,14038232,2,20160916,0,0,252,0,0,10067,1519461,20,1,2013-05-14 05:15:38,2016-09-16,-1221,>1 year early
0,1368507835,132123604,14038232,2,20160916,0,0,285,0,0,10067,1519461,20,0,2013-05-14 05:03:55,2016-09-16,-1221,>1 year early
0,1368508380,132123632,14038232,2,20160916,0,0,352,0,0,10067,1519461,20,1,2013-05-14 05:13:00,2016-09-16,-1221,>1 year early
0,1368518397,132123630,14038232,2,20160916,0,0,252,0,0,10067,1519461,20,1,2013-05-14 07:59:57,2016-09-16,-1221,>1 year early
0,1368531538,132123632,14038232,2,20160916,0,0,352,0,0,10067,1519461,20,1,2013-05-14 11:38:58,2016-09-16,-1221,>1 year early
