user_id,segment,skip_rate,listen_rate,total_sessions
0,Rarely Skips (<10%),0.020382952439777613,0.9796170475602224,1619
1,Rarely Skips (<10%),0.012753623188405783,0.9872463768115942,1725
2,Rarely Skips (<10%),0.038145539906103254,0.9618544600938967,1704
3,Rarely Skips (<10%),0.041085271317829464,0.9589147286821705,1290
4,Frequent Skipper (>50%),0.7575757575757576,0.24242424242424243,1386
5,Rarely Skips (<10%),0.013342696629213502,0.9866573033707865,1424
6,Rarely Skips (<10%),0.0022607385079125297,0.9977392614920875,1327
7,Frequent Skipper (>50%),0.8085991678224688,0.1914008321775312,1442
8,Rarely Skips (<10%),0.019071310116086204,0.9809286898839138,1206
9,Occasional Skipper (10-25%),0.19740437158469948,0.8025956284153005,1464
10,Frequent Skipper (>50%),0.6357267950963222,0.36427320490367776,1142
11,Frequent Skipper (>50%),0.5058986814712005,0.49410131852879946,1441
12,Rarely Skips (<10%),0.018181818181818188,0.9818181818181818,1100
13,Rarely Skips (<10%),0.003603603603603567,0.9963963963963964,1110
14,Rarely Skips (<10%),0.02075098814229248,0.9792490118577075,1012
15,Rarely Skips (<10%),0.005469462169553352,0.9945305378304466,1097
16,Moderate Skipper (25-50%),0.44745122718691,0.55254877281309,1589
17,Rarely Skips (<10%),0.01888489208633093,0.9811151079136691,1112
18,Frequent Skipper (>50%),0.6115444617784711,0.38845553822152884,1282
19,Rarely Skips (<10%),0.0873949579831933,0.9126050420168067,1190
20,Rarely Skips (<10%),0.05535714285714288,0.9446428571428571,1120
21,Rarely Skips (<10%),0.003076923076923088,0.9969230769230769,975
22,Frequent Skipper (>50%),0.6444444444444444,0.35555555555555557,945
23,Rarely Skips (<10%),0.008421052631578996,0.991578947368421,950
24,Occasional Skipper (10-25%),0.23801916932907352,0.7619808306709265,1252
25,Frequent Skipper (>50%),0.5573770491803278,0.4426229508196721,1098
26,Rarely Skips (<10%),0.021684737281067568,0.9783152627189324,1199
27,Rarely Skips (<10%),0.010131712259371817,0.9898682877406282,987
28,Rarely Skips (<10%),0.07358490566037734,0.9264150943396227,1060
29,Never Skips,0.0,1.0,754
30,Occasional Skipper (10-25%),0.11428571428571432,0.8857142857142857,805
31,Frequent Skipper (>50%),0.6425211665098778,0.35747883349012227,1063
32,Frequent Skipper (>50%),0.7755946225439504,0.22440537745604963,967
33,Rarely Skips (<10%),0.02397602397602394,0.9760239760239761,1001
34,Occasional Skipper (10-25%),0.19240506329113927,0.8075949367088607,1185
35,Rarely Skips (<10%),0.08669354838709675,0.9133064516129032,992
36,Rarely Skips (<10%),0.04487179487179482,0.9551282051282052,936
37,Frequent Skipper (>50%),0.5244029075804777,0.4755970924195223,963
